GO_id_or_uniprot_term	Description	OurLocalization	UniquePriorityNumber	SpatialRelation
Cytochrome P450MT2A	Cytochrome P450MT2A	Unknown	0	IN Extracellular
Cytochrome P450MT2B	Cytochrome P450MT2B	Unknown	0	IN Extracellular
Cytoplasmic granule lumen	Cytoplasmic granule lumen	Unknown	0	IN Extracellular
Cytoplasmic granule membrane	Cytoplasmic granule membrane	Unknown	0	IN Extracellular
dendrite	dendrite	Unknown	0	IN Extracellular
dendritic spine	dendritic spine	Unknown	0	IN Extracellular
dendritic spine membrane	dendritic spine membrane	Unknown	0	IN Extracellular
Desert hedgehog protein A C-product	Desert hedgehog protein A C-product	Unknown	0	IN Extracellular
Desert hedgehog protein A N-product	Desert hedgehog protein A N-product	Unknown	0	IN Extracellular
Desert hedgehog protein B C-product	Desert hedgehog protein B C-product	Unknown	0	IN Extracellular
Desert hedgehog protein B N-product	Desert hedgehog protein B N-product	Unknown	0	IN Extracellular
Desert hedgehog protein C-product	Desert hedgehog protein C-product	Unknown	0	IN Extracellular
Desert hedgehog protein N-product	Desert hedgehog protein N-product	Unknown	0	IN Extracellular
Dipeptidyl peptidase 4 soluble form	Dipeptidyl peptidase 4 soluble form	Unknown	0	IN Extracellular
DNA- lyase	DNA- lyase	Unknown	0	IN Extracellular
Dynamin-like GTPase MGM1 large isoform	Dynamin-like GTPase MGM1 large isoform	Unknown	0	IN Extracellular
Dynamin-like GTPase MGM1 small isoform	Dynamin-like GTPase MGM1 small isoform	Unknown	0	IN Extracellular
Ectodysplasin-A	Ectodysplasin-A	Unknown	0	IN Extracellular
EGF	EGF	Unknown	0	IN Extracellular
EGF-like module-containing mucin-like hormone receptor-like 3	EGF-like module-containing mucin-like hormone receptor-like 3	Unknown	0	IN Extracellular
EGF-like module-containing mucin-like hormone receptor-like 3 subunit alpha	EGF-like module-containing mucin-like hormone receptor-like 3 subunit alpha	Unknown	0	IN Extracellular
EGF-like module-containing mucin-like hormone receptor-like 3 subunit beta	EGF-like module-containing mucin-like hormone receptor-like 3 subunit beta	Unknown	0	IN Extracellular
Enhancer of filamentation 1 p55	Enhancer of filamentation 1 p55	Unknown	0	IN Extracellular
Eosinophil granule major basic protein	Eosinophil granule major basic protein	Unknown	0	IN Extracellular
Ephrin-A1	Ephrin-A1	Unknown	0	IN Extracellular
Epiregulin	Epiregulin	Unknown	0	IN Extracellular
ERBB4 intracellular domain	ERBB4 intracellular domain	Unknown	0	IN Extracellular
ERV-W1 provirus ancestral Env polyprotein	ERV-W1 provirus ancestral Env polyprotein	Unknown	0	IN Extracellular
esterosome membrane	esterosome membrane	Unknown	0	IN Extracellular
etioplast	etioplast	Unknown	0	IN Extracellular
etioplast membrane	etioplast membrane	Unknown	0	IN Extracellular
FasL intracellular domain	FasL intracellular domain	Unknown	0	IN Extracellular
Forespore membrane	Forespore membrane	Unknown	0	IN Extracellular
GPI- anchor	GPI- anchor	Unknown	0	IN Extracellular
GPI-anchor	GPI-anchor	Unknown	0	IN Extracellular
GPR56 N-terminal fragment	GPR56 N-terminal fragment	Unknown	0	IN Extracellular
growth cone	growth cone	Unknown	0	IN Extracellular
growth cone membrane	growth cone membrane	Unknown	0	IN Extracellular
Growth hormone-binding protein	Growth hormone-binding protein	Unknown	0	IN Extracellular
Heparin-binding EGF-like growth factor	Heparin-binding EGF-like growth factor	Unknown	0	IN Extracellular
HERV-K_12q14	HERV-K_12q14	Unknown	0	IN Extracellular
HERV-K_19p13	HERV-K_19p13	Unknown	0	IN Extracellular
HERV-K_19q12 provirus ancestral Env polyprotein	HERV-K_19q12 provirus ancestral Env polyprotein	Unknown	0	IN Extracellular
HERV-K_1q23	HERV-K_1q23	Unknown	0	IN Extracellular
HERV-K_22q11	HERV-K_22q11	Unknown	0	IN Extracellular
HERV-K_6q14	HERV-K_6q14	Unknown	0	IN Extracellular
HERV-K_7p22	HERV-K_7p22	Unknown	0	IN Extracellular
HERV-K_8p23	HERV-K_8p23	Unknown	0	IN Extracellular
HERV-W_7q21	HERV-W_7q21	Unknown	0	IN Extracellular
Hipposin	Hipposin	Unknown	0	IN Extracellular
Host cell membrane	Host cell membrane	Unknown	0	IN Extracellular
Host cytoplasm	Host cytoplasm	Unknown	0	IN Extracellular
host cytosol	host cytosol	Unknown	0	IN Extracellular
Host endoplasmic reticulum	Host endoplasmic reticulum	Unknown	0	IN Extracellular
Host extracellular space	Host extracellular space	Unknown	0	IN Extracellular
Host membrane	Host membrane	Unknown	0	IN Extracellular
hyaline layer	hyaline layer	Unknown	0	IN Extracellular
Hydrogenosome	Hydrogenosome	Unknown	0	IN Extracellular
Hydrogenosome membrane	Hydrogenosome membrane	Unknown	0	IN Extracellular
Indian hedgehog B protein C-product	Indian hedgehog B protein C-product	Unknown	0	IN Extracellular
Indian hedgehog B protein N-product	Indian hedgehog B protein N-product	Unknown	0	IN Extracellular
Indian hedgehog protein C-product	Indian hedgehog protein C-product	Unknown	0	IN Extracellular
Indian hedgehog protein N-product	Indian hedgehog protein N-product	Unknown	0	IN Extracellular
Integral membrane protein 2B	Integral membrane protein 2B	Unknown	0	IN Extracellular
Interleukin-16	Interleukin-16	Unknown	0	IN Extracellular
interphotoreceptor matrix	interphotoreceptor matrix	Unknown	0	IN Extracellular
invadopodium	invadopodium	Unknown	0	IN Extracellular
invadopodium membrane	invadopodium membrane	Unknown	0	IN Extracellular
Irisin	Irisin	Unknown	0	IN Extracellular
kinetoplast	kinetoplast	Unknown	0	IN Extracellular
kinocilium	kinocilium	Unknown	0	IN Extracellular
Klotho peptide	Klotho peptide	Unknown	0	IN Extracellular
latrophilin and seven transmembrane domain-containing protein 1 subunit alpha	latrophilin and seven transmembrane domain-containing protein 1 subunit alpha	Unknown	0	IN Extracellular
latrophilin and seven transmembrane domain-containing protein 1 subunit beta	latrophilin and seven transmembrane domain-containing protein 1 subunit beta	Unknown	0	IN Extracellular
Leucyl-cystinyl aminopeptidase	Leucyl-cystinyl aminopeptidase	Unknown	0	IN Extracellular
Lipid- anchor	Lipid- anchor	Unknown	0	IN Extracellular
Lipid droplet	Lipid droplet	Unknown	0	IN Extracellular
Lipid-anchor	Lipid-anchor	Unknown	0	IN Extracellular
Low-density lipoprotein receptor-related protein 1 515 kDa subunit	Low-density lipoprotein receptor-related protein 1 515 kDa subunit	Unknown	0	IN Extracellular
Low-density lipoprotein receptor-related protein 1 85 kDa subunit	Low-density lipoprotein receptor-related protein 1 85 kDa subunit	Unknown	0	IN Extracellular
Low-density lipoprotein receptor-related protein 1 intracellular domain	Low-density lipoprotein receptor-related protein 1 intracellular domain	Unknown	0	IN Extracellular
Lumenal side	Lumenal side	Unknown	0	IN Extracellular
M-alpha	M-alpha	Unknown	0	IN Extracellular
Megakaryocyte-potentiating factor	Megakaryocyte-potentiating factor	Unknown	0	IN Extracellular
membrane-bound isoform	membrane-bound isoform	Unknown	0	IN Extracellular
Merozoite surface protein P12	Merozoite surface protein P12	Unknown	0	IN Extracellular
microneme	microneme	Unknown	0	IN Extracellular
microneme membrane	microneme membrane	Unknown	0	IN Extracellular
MLL cleavage product C180	MLL cleavage product C180	Unknown	0	IN Extracellular
MLL cleavage product N320	MLL cleavage product N320	Unknown	0	IN Extracellular
Mucin-1 subunit beta	Mucin-1 subunit beta	Unknown	0	IN Extracellular
Mucin-4 alpha chain	Mucin-4 alpha chain	Unknown	0	IN Extracellular
Mucin-4 beta chain	Mucin-4 beta chain	Unknown	0	IN Extracellular
Multi- pass membrane protein	Multi- pass membrane protein	Unknown	0	IN Extracellular
Multi-pass membrane protein	Multi-pass membrane protein	Unknown	0	IN Extracellular
Myelin membrane	Myelin membrane	Unknown	0	IN Extracellular
Myelin regulatory factor	Myelin regulatory factor	Unknown	0	IN Extracellular
N-acetylglucosamine-1-phosphotransferase subunit alpha	N-acetylglucosamine-1-phosphotransferase subunit alpha	Unknown	0	IN Extracellular
N-acetylglucosamine-1-phosphotransferase subunit beta	N-acetylglucosamine-1-phosphotransferase subunit beta	Unknown	0	IN Extracellular
NADH-cytochrome b5 reductase 3 membrane- bound form	NADH-cytochrome b5 reductase 3 membrane- bound form	Unknown	0	IN Extracellular
NADH-cytochrome b5 reductase 3 soluble form	NADH-cytochrome b5 reductase 3 soluble form	Unknown	0	IN Extracellular
NADH-cytochrome b5 reductase p32 form	NADH-cytochrome b5 reductase p32 form	Unknown	0	IN Extracellular
NADH-cytochrome b5 reductase p34 form	NADH-cytochrome b5 reductase p34 form	Unknown	0	IN Extracellular
Nematocyst	Nematocyst	Unknown	0	IN Extracellular
Nesfatin-1	Nesfatin-1	Unknown	0	IN Extracellular
Neuregulin-1	Neuregulin-1	Unknown	0	IN Extracellular
Neuregulin-2	Neuregulin-2	Unknown	0	IN Extracellular
Neuregulin-3	Neuregulin-3	Unknown	0	IN Extracellular
Neuregulin-4	Neuregulin-4	Unknown	0	IN Extracellular
Notch 1 intracellular domain	Notch 1 intracellular domain	Unknown	0	IN Extracellular
Notch 2 intracellular domain	Notch 2 intracellular domain	Unknown	0	IN Extracellular
Notch 3 intracellular domain	Notch 3 intracellular domain	Unknown	0	IN Extracellular
Notch 4 intracellular domain	Notch 4 intracellular domain	Unknown	0	IN Extracellular
N-terminal	N-terminal	Unknown	0	IN Extracellular
Nuclear factor NF-kappa-B p110 subunit	Nuclear factor NF-kappa-B p110 subunit	Unknown	0	IN Extracellular
Nuclear factor NF-kappa-B p49 subunit	Nuclear factor NF-kappa-B p49 subunit	Unknown	0	IN Extracellular
Nuclear factor NF-kappa-B p68 subunit	Nuclear factor NF-kappa-B p68 subunit	Unknown	0	IN Extracellular
Nucleomorph	Nucleomorph	Unknown	0	IN Extracellular
Nucleoporin NUP145C	Nucleoporin NUP145C	Unknown	0	IN Extracellular
Nucleoporin NUP145N	Nucleoporin NUP145N	Unknown	0	IN Extracellular
Oncorhyncin II	Oncorhyncin II	Unknown	0	IN Extracellular
Oncorhyncin-3	Oncorhyncin-3	Unknown	0	IN Extracellular
organellar chromatophore	organellar chromatophore	Unknown	0	IN Extracellular
organellar chromatophore thylakoid membrane	organellar chromatophore thylakoid membrane	Unknown	0	IN Extracellular
p25	p25	Unknown	0	IN Extracellular
p35	p35	Unknown	0	IN Extracellular
PAK-2p34	PAK-2p34	Unknown	0	IN Extracellular
Parasitophorous vacuole	Parasitophorous vacuole	Unknown	0	IN Extracellular
Parasitophorous vacuole lumen	Parasitophorous vacuole lumen	Unknown	0	IN Extracellular
Parasitophorous vacuole membrane	Parasitophorous vacuole membrane	Unknown	0	IN Extracellular
Peptide BAM-1745	Peptide BAM-1745	Unknown	0	IN Extracellular
peribacteroid membrane	peribacteroid membrane	Unknown	0	IN Extracellular
peribacteroid space	peribacteroid space	Unknown	0	IN Extracellular
Perikaryon	Perikaryon	Unknown	0	IN Extracellular
Peripheral membrane protein	Peripheral membrane protein	Unknown	0	IN Extracellular
Periplasm	Periplasm	Unknown	0	IN Extracellular
perispore	perispore	Unknown	0	IN Extracellular
Photoreceptor inner segment	Photoreceptor inner segment	Unknown	0	IN Extracellular
photoreceptor outer segment	photoreceptor outer segment	Unknown	0	IN Extracellular
phragmoplast	phragmoplast	Unknown	0	IN Extracellular
plasmodesma	plasmodesma	Unknown	0	IN Extracellular
Plastid	Plastid	Unknown	0	IN Extracellular
Plastid inner membrane	Plastid inner membrane	Unknown	0	IN Extracellular
Plastid membrane	Plastid membrane	Unknown	0	IN Extracellular
Plastid outer membrane	Plastid outer membrane	Unknown	0	IN Extracellular
Plastid stroma	Plastid stroma	Unknown	0	IN Extracellular
Plastid thylakoid membrane	Plastid thylakoid membrane	Unknown	0	IN Extracellular
plastoglobule	plastoglobule	Unknown	0	IN Extracellular
pollen coat	pollen coat	Unknown	0	IN Extracellular
Polypeptide N- acetylgalactosaminyltransferase 1	Polypeptide N- acetylgalactosaminyltransferase 1	Unknown	0	IN Extracellular
Polypeptide N- acetylgalactosaminyltransferase 1 soluble form	Polypeptide N- acetylgalactosaminyltransferase 1 soluble form	Unknown	0	IN Extracellular
postsynaptic density	postsynaptic density	Unknown	0	IN Extracellular
pregnancy serum form	pregnancy serum form	Unknown	0	IN Extracellular
primary cell wall	primary cell wall	Unknown	0	IN Extracellular
Probetacellulin	Probetacellulin	Unknown	0	IN Extracellular
Procathepsin L	Procathepsin L	Unknown	0	IN Extracellular
Processed angiotensin-converting enzyme 2	Processed angiotensin-converting enzyme 2	Unknown	0	IN Extracellular
Processed beta-1	Processed beta-1	Unknown	0	IN Extracellular
Processed cyclic AMP-dependent transcription factor ATF-6 alpha	Processed cyclic AMP-dependent transcription factor ATF-6 alpha	Unknown	0	IN Extracellular
Processed cyclic AMP-dependent transcription factor ATF-6 beta	Processed cyclic AMP-dependent transcription factor ATF-6 beta	Unknown	0	IN Extracellular
Processed cyclic AMP-responsive element- binding protein 3	Processed cyclic AMP-responsive element- binding protein 3	Unknown	0	IN Extracellular
Processed cyclic AMP-responsive element- binding protein 3-like protein 1	Processed cyclic AMP-responsive element- binding protein 3-like protein 1	Unknown	0	IN Extracellular
Processed cyclic AMP-responsive element- binding protein 3-like protein 2	Processed cyclic AMP-responsive element- binding protein 3-like protein 2	Unknown	0	IN Extracellular
Processed cyclic AMP-responsive element- binding protein 3-like protein 3	Processed cyclic AMP-responsive element- binding protein 3-like protein 3	Unknown	0	IN Extracellular
Processed cyclic AMP-responsive element- binding protein 3-like protein 3-A	Processed cyclic AMP-responsive element- binding protein 3-like protein 3-A	Unknown	0	IN Extracellular
Processed cyclic AMP-responsive element- binding protein 3-like protein 3-B	Processed cyclic AMP-responsive element- binding protein 3-like protein 3-B	Unknown	0	IN Extracellular
Processed cyclic AMP-responsive element- binding protein 3-like protein 4	Processed cyclic AMP-responsive element- binding protein 3-like protein 4	Unknown	0	IN Extracellular
Processed cysteine-rich motor neuron 1 protein	Processed cysteine-rich motor neuron 1 protein	Unknown	0	IN Extracellular
Processed exostosin-like 2	Processed exostosin-like 2	Unknown	0	IN Extracellular
processed form	processed form	Unknown	0	IN Extracellular
Processed fractalkine	Processed fractalkine	Unknown	0	IN Extracellular
Processed kin of IRRE-like protein 3	Processed kin of IRRE-like protein 3	Unknown	0	IN Extracellular
Processed kit ligand	Processed kit ligand	Unknown	0	IN Extracellular
Processed lymphoid-restricted membrane protein	Processed lymphoid-restricted membrane protein	Unknown	0	IN Extracellular
Processed macrophage colony-stimulating factor 1	Processed macrophage colony-stimulating factor 1	Unknown	0	IN Extracellular
Processed matrix metalloproteinase-24	Processed matrix metalloproteinase-24	Unknown	0	IN Extracellular
Processed neural cell adhesion molecule L1- like protein	Processed neural cell adhesion molecule L1- like protein	Unknown	0	IN Extracellular
Processed neurogenic locus Notch protein	Processed neurogenic locus Notch protein	Unknown	0	IN Extracellular
Processed PDZ domain-containing protein 2	Processed PDZ domain-containing protein 2	Unknown	0	IN Extracellular
Processed poliovirus receptor-related protein 4	Processed poliovirus receptor-related protein 4	Unknown	0	IN Extracellular
Processed sterol regulatory element-binding protein 1	Processed sterol regulatory element-binding protein 1	Unknown	0	IN Extracellular
Processed sterol regulatory element-binding protein 2	Processed sterol regulatory element-binding protein 2	Unknown	0	IN Extracellular
Processed zona pellucida sperm-binding protein 1	Processed zona pellucida sperm-binding protein 1	Unknown	0	IN Extracellular
Processed zona pellucida sperm-binding protein 2	Processed zona pellucida sperm-binding protein 2	Unknown	0	IN Extracellular
Processed zona pellucida sperm-binding protein 3	Processed zona pellucida sperm-binding protein 3	Unknown	0	IN Extracellular
Processed zona pellucida sperm-binding protein 4	Processed zona pellucida sperm-binding protein 4	Unknown	0	IN Extracellular
Proepiregulin	Proepiregulin	Unknown	0	IN Extracellular
Proheparin-binding EGF-like growth factor	Proheparin-binding EGF-like growth factor	Unknown	0	IN Extracellular
Pro-interleukin-16	Pro-interleukin-16	Unknown	0	IN Extracellular
Pro-neuregulin-1	Pro-neuregulin-1	Unknown	0	IN Extracellular
Pro-neuregulin-2	Pro-neuregulin-2	Unknown	0	IN Extracellular
Pro-neuregulin-3	Pro-neuregulin-3	Unknown	0	IN Extracellular
Pro-neuregulin-4	Pro-neuregulin-4	Unknown	0	IN Extracellular
Prosaposin	Prosaposin	Unknown	0	IN Extracellular
Prospore membrane	Prospore membrane	Unknown	0	IN Extracellular
Prostaglandin E synthase 2 truncated form	Prostaglandin E synthase 2 truncated form	Unknown	0	IN Extracellular
Prostasin	Prostasin	Unknown	0	IN Extracellular
Prostasin heavy chain	Prostasin heavy chain	Unknown	0	IN Extracellular
Prostasin light chain	Prostasin light chain	Unknown	0	IN Extracellular
Protein four-jointed	Protein four-jointed	Unknown	0	IN Extracellular
Protein hedgehog C-product	Protein hedgehog C-product	Unknown	0	IN Extracellular
Protein hedgehog N-product	Protein hedgehog N-product	Unknown	0	IN Extracellular
Protransforming growth factor alpha	Protransforming growth factor alpha	Unknown	0	IN Extracellular
Repressible alkaline phosphatase	Repressible alkaline phosphatase	Unknown	0	IN Extracellular
Rhomboid-related protein 2	Rhomboid-related protein 2	Unknown	0	IN Extracellular
rhoptry	rhoptry	Unknown	0	IN Extracellular
SAMP H1	SAMP H1	Unknown	0	IN Extracellular
Secretogranin-1	Secretogranin-1	Unknown	0	IN Extracellular
Secretogranin-2	Secretogranin-2	Unknown	0	IN Extracellular
Secretolytin	Secretolytin	Unknown	0	IN Extracellular
Secretoneurin	Secretoneurin	Unknown	0	IN Extracellular
Secretory component	Secretory component	Unknown	0	IN Extracellular
Serine/threonine-protein kinase PAK 2	Serine/threonine-protein kinase PAK 2	Unknown	0	IN Extracellular
serum form	serum form	Unknown	0	IN Extracellular
Short peptide from AAT	Short peptide from AAT	Unknown	0	IN Extracellular
Single- pass membrane protein	Single- pass membrane protein	Unknown	0	IN Extracellular
Single- pass type I membrane protein	Single- pass type I membrane protein	Unknown	0	IN Extracellular
Single- pass type II membrane protein	Single- pass type II membrane protein	Unknown	0	IN Extracellular
Single- pass type III membrane protein	Single- pass type III membrane protein	Unknown	0	IN Extracellular
Single- pass type IV membrane protein	Single- pass type IV membrane protein	Unknown	0	IN Extracellular
Single-pass membrane protein	Single-pass membrane protein	Unknown	0	IN Extracellular
Single-pass type I membrane protein	Single-pass type I membrane protein	Unknown	0	IN Extracellular
Single-pass type II membrane protein	Single-pass type II membrane protein	Unknown	0	IN Extracellular
Single-pass type III membrane protein	Single-pass type III membrane protein	Unknown	0	IN Extracellular
Single-pass type IV membrane protein	Single-pass type IV membrane protein	Unknown	0	IN Extracellular
SirtT1 75 kDa fragment	SirtT1 75 kDa fragment	Unknown	0	IN Extracellular
soluble	soluble	Unknown	0	IN Extracellular
Soluble alkaline phosphatase	Soluble alkaline phosphatase	Unknown	0	IN Extracellular
Soluble CD163	Soluble CD163	Unknown	0	IN Extracellular
Soluble dopamine beta-hydroxylase	Soluble dopamine beta-hydroxylase	Unknown	0	IN Extracellular
soluble form	soluble form	Unknown	0	IN Extracellular
Soluble interleukin-15 receptor subunit alpha	Soluble interleukin-15 receptor subunit alpha	Unknown	0	IN Extracellular
Soluble KIT ligand	Soluble KIT ligand	Unknown	0	IN Extracellular
Soluble secretory phospholipase A2 receptor	Soluble secretory phospholipase A2 receptor	Unknown	0	IN Extracellular
Sonic hedgehog protein A C-product	Sonic hedgehog protein A C-product	Unknown	0	IN Extracellular
Sonic hedgehog protein A N-product	Sonic hedgehog protein A N-product	Unknown	0	IN Extracellular
Sonic hedgehog protein C-product	Sonic hedgehog protein C-product	Unknown	0	IN Extracellular
Sonic hedgehog protein N-product	Sonic hedgehog protein N-product	Unknown	0	IN Extracellular
spore coat	spore coat	Unknown	0	IN Extracellular
Spore core	Spore core	Unknown	0	IN Extracellular
Spore polar tube	Spore polar tube	Unknown	0	IN Extracellular
Spore wall	Spore wall	Unknown	0	IN Extracellular
stereocilium	stereocilium	Unknown	0	IN Extracellular
stereocilium membrane	stereocilium membrane	Unknown	0	IN Extracellular
Stromal side	Stromal side	Unknown	0	IN Extracellular
surface film	surface film	Unknown	0	IN Extracellular
Symbiosome	Symbiosome	Unknown	0	IN Extracellular
synaptosome	synaptosome	Unknown	0	IN Extracellular
Target cell membrane	Target cell membrane	Unknown	0	IN Extracellular
T-cell surface glycoprotein CD1e	T-cell surface glycoprotein CD1e	Unknown	0	IN Extracellular
TDIFp	TDIFp	Unknown	0	IN Extracellular
Tegument membrane	Tegument membrane	Unknown	0	IN Extracellular
Ten-1 intracellular domain	Ten-1 intracellular domain	Unknown	0	IN Extracellular
Ten-2 intracellular domain	Ten-2 intracellular domain	Unknown	0	IN Extracellular
Teneurin C-terminal-associated peptide	Teneurin C-terminal-associated peptide	Unknown	0	IN Extracellular
Thylakoid	Thylakoid	Unknown	0	IN Extracellular
Tiggy-winkle hedgehog protein C-product	Tiggy-winkle hedgehog protein C-product	Unknown	0	IN Extracellular
Tiggy-winkle hedgehog protein N-product	Tiggy-winkle hedgehog protein N-product	Unknown	0	IN Extracellular
Transferrin receptor protein 1	Transferrin receptor protein 1	Unknown	0	IN Extracellular
Transforming growth factor alpha	Transforming growth factor alpha	Unknown	0	IN Extracellular
Transmembrane protease serine 11D catalytic chain	Transmembrane protease serine 11D catalytic chain	Unknown	0	IN Extracellular
Transmembrane protease serine 11E catalytic chain	Transmembrane protease serine 11E catalytic chain	Unknown	0	IN Extracellular
Transmembrane protease serine 2 catalytic chain	Transmembrane protease serine 2 catalytic chain	Unknown	0	IN Extracellular
Transmembrane protein	Transmembrane protein	Unknown	0	IN Extracellular
Trichocyst	Trichocyst	Unknown	0	IN Extracellular
Tumor necrosis factor	Tumor necrosis factor	Unknown	0	IN Extracellular
Tumor necrosis factor ligand superfamily member 11	Tumor necrosis factor ligand superfamily member 11	Unknown	0	IN Extracellular
Tumor necrosis factor ligand superfamily member 12	Tumor necrosis factor ligand superfamily member 12	Unknown	0	IN Extracellular
Tumor necrosis factor ligand superfamily member 13b	Tumor necrosis factor ligand superfamily member 13b	Unknown	0	IN Extracellular
Tumor necrosis factor ligand superfamily member 14	Tumor necrosis factor ligand superfamily member 14	Unknown	0	IN Extracellular
Tumor necrosis factor ligand superfamily member 15	Tumor necrosis factor ligand superfamily member 15	Unknown	0	IN Extracellular
Tumor necrosis factor ligand superfamily member 6	Tumor necrosis factor ligand superfamily member 6	Unknown	0	IN Extracellular
Tumor necrosis factor-binding protein 2	Tumor necrosis factor-binding protein 2	Unknown	0	IN Extracellular
Ubiquitin	Ubiquitin	Unknown	0	IN Extracellular
Ubiquitin-like protein	Ubiquitin-like protein	Unknown	0	IN Extracellular
Uromodulin	Uromodulin	Unknown	0	IN Extracellular
Warthog protein 1	Warthog protein 1	Unknown	0	IN Extracellular
Warthog protein 1 C-product	Warthog protein 1 C-product	Unknown	0	IN Extracellular
Warthog protein 1 N-product	Warthog protein 1 N-product	Unknown	0	IN Extracellular
Warthog protein 4	Warthog protein 4	Unknown	0	IN Extracellular
Warthog protein 4 C-product	Warthog protein 4 C-product	Unknown	0	IN Extracellular
Warthog protein 4 N-product	Warthog protein 4 N-product	Unknown	0	IN Extracellular
Warthog protein 6	Warthog protein 6	Unknown	0	IN Extracellular
Warthog protein 6 C-product	Warthog protein 6 C-product	Unknown	0	IN Extracellular
Warthog protein 6 N-product	Warthog protein 6 N-product	Unknown	0	IN Extracellular
Warthog protein 8	Warthog protein 8	Unknown	0	IN Extracellular
Warthog protein 8 C-product	Warthog protein 8 C-product	Unknown	0	IN Extracellular
Warthog protein 8 N-product	Warthog protein 8 N-product	Unknown	0	IN Extracellular
WND/140 kDa	WND/140 kDa	Unknown	0	IN Extracellular
Xenin	Xenin	Unknown	0	IN Extracellular
GO:0000110	nucleotide-excision repair factor 1 complex	Unknown	0	IN Extracellular
GO:0000111	nucleotide-excision repair factor 2 complex	Unknown	0	IN Extracellular
GO:0000112	nucleotide-excision repair factor 3 complex	Unknown	0	IN Extracellular
GO:0000113	nucleotide-excision repair factor 4 complex	Unknown	0	IN Extracellular
GO:0000124	SAGA complex	Unknown	0	IN Extracellular
GO:0000131	incipient cellular bud site	Unknown	0	IN Extracellular
GO:0000136	"alpha-1,6-mannosyltransferase complex"	Unknown	0	IN Extracellular
GO:0000142	cellular bud neck contractile ring	Unknown	0	IN Extracellular
GO:0000144	cellular bud neck septin ring	Unknown	0	IN Extracellular
GO:0000148	"1,3-beta-D-glucan synthase complex"	Unknown	0	IN Extracellular
GO:0000220	"vacuolar proton-transporting V-type ATPase, V0 domain"	Unknown	0	IN Extracellular
GO:0000222	"plasma membrane proton-transporting V-type ATPase, V0 domain"	Unknown	0	IN Extracellular
GO:0000223	"plasma membrane proton-transporting V-type ATPase, V1 domain"	Unknown	0	IN Extracellular
GO:0000229	cytoplasmic chromosome	Unknown	0	IN Extracellular
GO:0000243	commitment complex	Unknown	0	IN Extracellular
GO:0000274	"mitochondrial proton-transporting ATP synthase, stator stalk"	Unknown	0	IN Extracellular
GO:0000275	"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)"	Unknown	0	IN Extracellular
GO:0000306	extrinsic component of vacuolar membrane	Unknown	0	IN Extracellular
GO:0000308	cytoplasmic cyclin-dependent protein kinase holoenzyme complex	Unknown	0	IN Extracellular
GO:0000311	plastid large ribosomal subunit	Unknown	0	IN Extracellular
GO:0000312	plastid small ribosomal subunit	Unknown	0	IN Extracellular
GO:0000313	organellar ribosome	Unknown	0	IN Extracellular
GO:0000314	organellar small ribosomal subunit	Unknown	0	IN Extracellular
GO:0000315	organellar large ribosomal subunit	Unknown	0	IN Extracellular
GO:0000322	storage vacuole	Unknown	0	IN Extracellular
GO:0000324	fungal-type vacuole	Unknown	0	IN Extracellular
GO:0000325	plant-type vacuole	Unknown	0	IN Extracellular
GO:0000326	protein storage vacuole	Unknown	0	IN Extracellular
GO:0000327	lytic vacuole within protein storage vacuole	Unknown	0	IN Extracellular
GO:0000328	fungal-type vacuole lumen	Unknown	0	IN Extracellular
GO:0000329	fungal-type vacuole membrane	Unknown	0	IN Extracellular
GO:0000330	plant-type vacuole lumen	Unknown	0	IN Extracellular
GO:0000331	contractile vacuole	Unknown	0	IN Extracellular
GO:0000333	telomerase catalytic core complex	Unknown	0	IN Extracellular
GO:0000343	plastid-encoded plastid RNA polymerase complex A	Unknown	0	IN Extracellular
GO:0000344	plastid-encoded plastid RNA polymerase complex B	Unknown	0	IN Extracellular
GO:0000345	cytosolic DNA-directed RNA polymerase complex	Unknown	0	IN Extracellular
GO:0000346	transcription export complex	Unknown	0	IN Extracellular
GO:0000347	THO complex	Unknown	0	IN Extracellular
GO:0000399	cellular bud neck septin structure	Unknown	0	IN Extracellular
GO:0000407	pre-autophagosomal structure	Unknown	0	IN Extracellular
GO:0000408	EKC/KEOPS complex	Unknown	0	IN Extracellular
GO:0000417	HIR complex	Unknown	0	IN Extracellular
GO:0000418	DNA-directed RNA polymerase IV complex	Unknown	0	IN Extracellular
GO:0000419	DNA-directed RNA polymerase V complex	Unknown	0	IN Extracellular
GO:0000421	autophagic vacuole membrane	Unknown	0	IN Extracellular
GO:0000427	plastid-encoded plastid RNA polymerase complex	Unknown	0	IN Extracellular
GO:0000428	DNA-directed RNA polymerase complex	Unknown	0	IN Extracellular
GO:0000438	core TFIIH complex portion of holo TFIIH complex	Unknown	0	IN Extracellular
GO:0000439	core TFIIH complex	Unknown	0	IN Extracellular
GO:0000440	core TFIIH complex portion of NEF3 complex	Unknown	0	IN Extracellular
GO:0000441	SSL2-core TFIIH complex	Unknown	0	IN Extracellular
GO:0000442	SSL2-core TFIIH complex portion of NEF3 complex	Unknown	0	IN Extracellular
GO:0000443	SSL2-core TFIIH complex portion of holo TFIIH complex	Unknown	0	IN Extracellular
GO:0000444	MIS12/MIND type complex	Unknown	0	IN Extracellular
GO:0000445	THO complex part of transcription export complex	Unknown	0	IN Extracellular
